Date,Open,High,Low,Close
1-January-2021,35904.69,36015.38,35768.88,35798.50,
4-January-2021,36008.94,36080.31,35419.55,35745.18,
5-January-2021,35573.70,36309.71,35426.37,36274.81,
6-January-2021,36463.90,36607.13,36124.68,36396.92,
7-January-2021,36719.36,36753.56,36442.13,36491.77,
8-January-2021,36820.25,36854.80,36536.04,36658.77,
11-January-2021,36892.58,36893.81,36352.54,36522.98,
12-January-2021,36267.09,36815.67,36190.65,36750.76,
13-January-2021,36915.62,37111.02,36545.24,36976.16,
14-January-2021,36941.27,37120.20,36830.75,36904.03,
15-January-2021,36921.09,36940.09,36356.99,36540.47,
18-January-2021,36567.26,36718.36,35869.25,36027.80,
19-January-2021,36335.08,36786.76,36108.72,36730.19,
20-January-2021,36790.05,36927.73,36639.08,36836.73,
21-January-2021,37119.59,37210.85,36277.03,36485.54,
22-January-2021,36369.63,36432.73,35324.76,35379.59,
25-January-2021,35699.61,35959.93,35158.06,35370.57,
27-January-2021,35438.20,35477.16,34201.08,34334.80,
28-January-2021,33733.89,34555.67,33700.29,34433.26,
29-January-2021,34838.75,35250.29,34330.94,34662.51,
1-February-2021,35039.14,37775.02,35039.14,37549.19,
2-February-2021,38061.47,39218.87,38054.32,38833.38,
3-February-2021,39172.31,39455.35,38529.79,39310.10,
4-February-2021,39153.10,40040.55,38700.09,39941.18,
5-February-2021,40612.19,41320.35,40181.94,40301.81,
8-February-2021,40739.47,41255.24,40560.29,40661.42,
9-February-2021,40668.14,41172.70,40314.34,40724.81,
10-February-2021,40738.03,40923.12,40063.32,40460.83,
11-February-2021,40271.86,40693.95,40249.00,40435.30,
12-February-2021,40447.41,41045.18,40372.16,40835.90,
15-February-2021,41174.09,42324.55,41166.65,42187.14,
16-February-2021,42387.94,42655.21,41589.04,41964.06,
17-February-2021,41863.70,42165.27,41524.80,41671.51,
18-February-2021,41967.11,41967.11,40944.97,41183.14,
19-February-2021,40987.86,41203.55,40069.38,40333.67,
22-February-2021,40348.73,40634.36,39540.82,39712.46,
23-February-2021,40015.54,40101.48,39321.66,39496.36,
24-February-2021,39422.75,41097.17,39422.75,40959.24,
25-February-2021,41364.50,41809.15,40897.06,40977.00,
26-February-2021,40153.93,40206.17,38809.00,38981.16,
1-March-2021,39644.30,39891.29,39238.19,39616.41,
2-March-2021,39893.25,40084.67,39273.07,39736.16,
3-March-2021,40079.85,40933.82,39988.47,40830.81,
4-March-2021,40047.51,40785.63,39873.55,40238.79,
5-March-2021,39864.81,40040.25,39301.70,39692.34,
8-March-2021,39942.74,40316.83,39483.70,39713.81,
9-March-2021,40083.66,40659.59,40063.79,40457.22,
10-March-2021,40725.01,40788.08,40336.35,40514.30,
12-March-2021,40970.51,41071.82,39660.29,39995.58,
15-March-2021,39992.00,40011.31,38819.81,39630.01,
16-March-2021,39793.59,39882.10,39158.11,39222.44,
17-March-2021,39220.79,39571.01,38497.90,38602.27,
18-March-2021,38855.09,39183.60,37892.90,38136.19,
19-March-2021,37835.38,38734.69,37672.64,38468.53,
22-March-2021,38474.30,38474.30,37637.68,37889.55,
23-March-2021,38058.33,38659.91,37861.30,38462.48,
24-March-2021,38190.92,38210.98,37384.72,37490.68,
25-March-2021,37601.17,37799.21,36536.83,37201.49,
26-March-2021,37732.83,37845.29,37354.88,37527.83,
30-March-2021,37753.03,38239.87,37753.03,38093.29,
31-March-2021,38040.96,38040.96,37382.25,37547.91,
1-April-2021,37855.58,38339.69,37472.03,38239.36,
5-April-2021,38023.83,38054.06,36521.80,36912.87,
6-April-2021,37099.19,37274.77,36524.81,36725.67,
7-April-2021,36729.61,37529.29,36349.98,37302.34,
8-April-2021,37522.70,37642.60,36984.10,37075.25,
9-April-2021,36874.07,37313.73,36562.18,36770.43,
12-April-2021,35722.80,35830.55,34662.99,34967.83,
13-April-2021,35036.70,36213.94,34902.79,36088.53,
15-April-2021,36138.74,36543.98,35682.54,36473.15,
16-April-2021,36563.40,36686.86,36208.51,36287.32,
19-April-2021,35356.16,35505.75,34513.25,35399.99,
20-April-2021,35840.99,36004.83,35043.90,35300.20,
22-April-2021,34969.20,36105.65,34684.34,36054.77,
23-April-2021,35811.66,36461.42,35601.99,36023.82,
26-April-2021,36597.88,37085.56,36534.25,36732.55,
27-April-2021,36678.53,37248.37,36578.02,37157.83,
28-April-2021,37236.97,38343.66,37236.97,38273.65,
29-April-2021,38479.54,38912.46,37816.94,38302.37,
30-April-2021,37712.30,38098.78,37188.62,37304.97,
3-May-2021,37049.34,37097.44,36333.73,36970.27,
4-May-2021,37175.57,37591.26,36671.09,36758.38,
5-May-2021,37113.95,37496.06,36520.52,37370.57,
6-May-2021,37554.95,37562.43,37154.31,37454.23,
7-May-2021,37598.00,37943.51,37367.62,37516.19,
10-May-2021,37752.99,37990.69,37688.81,37823.66,
11-May-2021,37321.48,37778.25,37246.18,37437.34,
12-May-2021,37364.48,37364.48,36803.25,36899.57,
14-May-2021,37027.56,37085.71,36528.01,36599.91,
17-May-2021,36829.45,38104.92,36784.95,38058.27,
18-May-2021,38492.63,38807.90,38346.56,38528.89,
19-May-2021,38318.87,38562.22,38181.55,38255.23,
20-May-2021,38264.38,38413.84,37808.38,37872.23,
21-May-2021,38146.99,39374.87,38120.09,39285.58,
24-May-2021,39601.74,39953.77,39176.59,39626.57,
25-May-2021,39820.00,39837.55,39064.23,39348.83,
26-May-2021,39556.55,39627.70,39125.88,39387.26,
27-May-2021,39404.07,40004.47,39200.10,39856.64,
28-May-2021,40130.39,40247.92,39705.63,39863.48,
31-May-2021,39891.15,40413.61,39666.32,40344.68,
1-June-2021,40454.52,40549.62,40012.77,40120.90,
2-June-2021,40092.75,40107.98,39765.12,40057.48,
3-June-2021,40311.48,40487.37,40152.11,40419.30,
4-June-2021,40472.37,40620.67,39881.50,40035.31,
7-June-2021,40179.33,40346.26,40096.20,40231.49,
8-June-2021,40243.79,40243.79,39677.23,39846.48,
9-June-2021,39857.40,40160.41,39301.36,39482.73,
10-June-2021,39610.29,39925.04,39406.82,39874.25,
11-June-2021,39996.30,40101.03,39561.37,39731.36,
14-June-2021,39669.32,39669.32,38982.66,39572.29,
15-June-2021,39631.20,39987.11,39551.91,39930.73,
16-June-2021,39956.59,40092.80,39583.98,39675.91,
17-June-2021,39306.26,39514.96,39084.71,39266.18,
18-June-2021,39467.33,39470.59,38474.03,39177.92,
21-June-2021,38758.99,39544.74,38460.82,39499.93,
22-June-2021,39703.76,39954.03,39278.71,39373.66,
23-June-2021,39573.92,39585.46,39077.38,39129.74,
24-June-2021,39256.81,39525.08,39141.04,39427.30,
25-June-2021,39534.71,40188.13,39506.11,40026.43,
28-June-2021,40149.08,40270.29,39892.13,40017.63,
29-June-2021,40021.32,40021.32,39508.69,39593.03,
30-June-2021,39673.32,39868.59,39288.23,39349.98,
1-July-2021,39448.00,39543.36,39242.88,39269.11,
2-July-2021,39361.98,39530.08,39234.20,39451.42,
5-July-2021,39601.48,39929.51,39597.58,39898.13,
6-July-2021,39920.51,40538.91,39839.68,40281.21,
7-July-2021,40326.72,40507.68,40123.70,40472.32,
8-July-2021,40369.78,40528.71,39764.13,39909.51,
9-July-2021,39861.33,39861.33,39449.18,39668.64,
12-July-2021,39919.88,40067.31,39706.87,39870.63,
13-July-2021,40139.63,40484.04,40036.38,40433.47,
14-July-2021,40411.32,40581.50,40162.09,40431.31,
15-July-2021,40521.43,40782.12,40401.53,40688.86,
16-July-2021,40716.86,40781.74,40416.07,40499.65,
19-July-2021,39668.54,40082.05,39585.43,39788.05,
20-July-2021,39595.89,39601.58,39012.75,39074.51,
22-July-2021,39414.13,39707.96,39224.59,39361.94,
23-July-2021,39437.03,39888.99,39062.58,39832.64,
26-July-2021,39812.85,39970.19,39383.81,39779.90,
27-July-2021,39897.21,40014.08,39430.38,39513.40,
28-July-2021,39646.43,39646.43,38746.15,39194.52,
29-July-2021,39395.05,39457.01,39137.18,39331.64,
30-July-2021,39400.84,39400.84,39072.06,39190.11,
2-August-2021,39408.84,39536.40,39231.45,39359.44,
3-August-2021,39352.21,40014.12,39348.00,39973.58,
4-August-2021,40196.54,41214.85,40134.72,41014.53,
5-August-2021,41159.38,41159.41,40635.98,40801.27,
6-August-2021,40788.13,41051.99,40629.77,40731.26,
9-August-2021,40749.35,41136.59,40591.65,40993.51,
10-August-2021,40958.23,41371.20,40905.71,41070.02,
11-August-2021,41205.17,41282.88,40499.92,40771.83,
12-August-2021,40794.92,40995.06,40654.41,40923.55,
13-August-2021,41017.59,41222.52,40909.56,41151.00,
16-August-2021,41170.21,41257.32,40988.16,41044.99,
17-August-2021,40993.83,40993.83,40544.90,40846.90,
18-August-2021,41192.33,41221.65,40308.05,40455.31,
20-August-2021,39997.82,40138.11,39702.62,39799.88,
23-August-2021,40166.72,40208.63,39586.41,39907.30,
24-August-2021,39927.01,40579.86,39816.24,40484.89,
25-August-2021,40553.16,40729.55,40232.83,40323.88,
26-August-2021,40286.73,40551.94,40130.58,40382.03,
27-August-2021,40230.95,40555.69,40099.84,40478.86,
30-August-2021,40619.98,41371.13,40570.18,41313.10,
31-August-2021,41388.77,41586.78,41223.75,41469.62,
1-September-2021,41693.08,42133.26,41563.34,41615.78,
2-September-2021,41664.92,42023.66,41521.24,41948.90,
3-September-2021,42027.69,42298.67,41648.71,41882.05,
6-September-2021,42016.08,42073.71,41667.64,41707.14,
7-September-2021,41735.25,41735.52,41154.27,41495.72,
8-September-2021,41499.11,42013.87,41410.48,41919.24,
9-September-2021,41886.29,42030.62,41688.44,41814.36,
13-September-2021,41743.43,41812.48,41400.81,41605.92,
14-September-2021,41878.41,41980.50,41735.90,41815.57,
15-September-2021,41854.33,42190.62,41680.73,42069.85,
16-September-2021,42278.27,43033.31,42128.76,42962.49,
17-September-2021,43243.87,43530.10,42789.24,43262.12,
20-September-2021,42871.84,43263.79,42445.91,42544.88,
21-September-2021,42619.82,42757.64,41878.07,42636.25,
22-September-2021,42816.97,42816.97,42243.18,42315.01,
23-September-2021,42655.09,43339.63,42616.93,43271.69,
24-September-2021,43444.02,43595.79,43125.78,43245.49,
