Date,Open,High,Low,Close
1-January-2021,47785.28,47980.36,47771.15,47868.98,
4-January-2021,48109.17,48220.47,47594.47,48176.80,
5-January-2021,48037.63,48486.24,47903.38,48437.78,
6-January-2021,48616.66,48616.66,47864.14,48174.06,
7-January-2021,48524.36,48558.34,48037.87,48093.32,
8-January-2021,48464.91,48854.34,48365.58,48782.51,
11-January-2021,49252.31,49303.79,48956.38,49269.32,
12-January-2021,49228.26,49569.14,49079.57,49517.11,
13-January-2021,49763.93,49795.19,49073.85,49492.32,
14-January-2021,49432.83,49663.58,49182.37,49584.16,
15-January-2021,49656.71,49656.71,48795.79,49034.67,
18-January-2021,49061.22,49122.23,48403.97,48564.27,
19-January-2021,48900.31,49499.86,48805.54,49398.29,
20-January-2021,49508.79,49874.42,49373.68,49792.12,
21-January-2021,50096.57,50184.01,49398.86,49624.76,
22-January-2021,49594.95,49676.88,48832.08,48878.54,
25-January-2021,49253.68,49263.15,48274.92,48347.59,
27-January-2021,48385.28,48387.25,47269.60,47409.93,
28-January-2021,46834.57,47172.02,46518.48,46874.36,
29-January-2021,47423.47,47423.66,46160.46,46285.77,
1-February-2021,46617.95,48764.40,46433.65,48600.61,
2-February-2021,49193.26,50154.48,49193.26,49797.72,
3-February-2021,50231.06,50526.39,49515.88,50255.75,
4-February-2021,50212.25,50687.51,49926.45,50614.29,
5-February-2021,51031.39,51073.27,50565.29,50731.63,
8-February-2021,51146.67,51523.38,51146.67,51348.77,
9-February-2021,51484.23,51835.86,51193.93,51329.08,
10-February-2021,51355.89,51512.86,50846.22,51309.39,
11-February-2021,51165.84,51592.45,51157.31,51531.52,
12-February-2021,51614.77,51804.58,51260.62,51544.30,
15-February-2021,51907.75,52235.97,51886.46,52154.13,
16-February-2021,52400.03,52516.76,51863.61,52104.17,
17-February-2021,51996.94,52078.15,51586.34,51703.83,
18-February-2021,51903.96,51903.96,51186.68,51324.69,
19-February-2021,51238.02,51432.99,50624.33,50889.76,
22-February-2021,50910.51,50986.03,49617.37,49744.32,
23-February-2021,49994.85,50327.31,49659.85,49751.41,
24-February-2021,49763.94,50881.17,49648.78,50781.69,
25-February-2021,51207.61,51386.12,50991.76,51039.31,
26-February-2021,50256.71,50400.31,48890.48,49099.99,
1-March-2021,49747.71,50058.42,49440.46,49849.84,
2-March-2021,50258.09,50439.82,49807.12,50296.89,
3-March-2021,50738.21,51539.89,50512.84,51444.65,
4-March-2021,50812.14,51256.55,50539.92,50846.08,
5-March-2021,50517.36,50886.19,50160.54,50405.32,
8-March-2021,50654.02,50985.77,50318.26,50441.07,
9-March-2021,50714.16,51111.94,50396.10,51025.48,
10-March-2021,51404.68,51430.43,51048.93,51279.51,
12-March-2021,51660.98,51821.84,50538.43,50792.08,
15-March-2021,50773.47,50834.78,49799.07,50395.08,
16-March-2021,50608.42,50857.98,50289.44,50363.96,
17-March-2021,50436.02,50561.12,49718.65,49801.62,
18-March-2021,50161.25,50296.35,48962.36,49216.52,
19-March-2021,48881.19,50003.58,48586.93,49858.24,
22-March-2021,49878.77,49878.77,49281.02,49771.29,
23-March-2021,49876.21,50264.65,49661.92,50051.44,
24-March-2021,49786.47,49854.58,49120.34,49180.31,
25-March-2021,49201.98,49247.95,48236.35,48440.12,
26-March-2021,48969.25,49234.66,48699.91,49008.50,
30-March-2021,49331.68,50268.45,49331.68,50136.58,
31-March-2021,50049.12,50050.32,49442.50,49509.15,
1-April-2021,49868.53,50092.48,49478.53,50029.83,
5-April-2021,50020.91,50028.67,48580.80,49159.32,
6-April-2021,49441.13,49582.26,48936.35,49201.39,
7-April-2021,49277.09,49900.13,49093.90,49661.76,
8-April-2021,49885.26,50118.08,49581.61,49746.21,
9-April-2021,49743.39,49906.91,49461.01,49591.32,
12-April-2021,48956.65,48956.65,47693.44,47883.38,
13-April-2021,47991.53,48627.43,47775.32,48544.06,
15-April-2021,48512.77,48887.85,48010.55,48803.68,
16-April-2021,48935.74,49089.55,48694.49,48832.03,
19-April-2021,47940.81,48020.79,47362.71,47949.42,
20-April-2021,48473.04,48478.34,47438.50,47705.80,
22-April-2021,47501.71,48143.16,47204.50,48080.67,
23-April-2021,47863.81,48265.39,47669.55,47878.45,
26-April-2021,48197.37,48667.98,48152.24,48386.51,
27-April-2021,48424.08,49009.26,48399.53,48944.14,
28-April-2021,49066.64,49801.48,49066.64,49733.84,
29-April-2021,50093.86,50375.77,49535.98,49765.94,
30-April-2021,49360.89,49569.42,48698.08,48782.36,
3-May-2021,48356.01,48863.23,48028.07,48718.52,
4-May-2021,48881.63,48996.53,48149.45,48253.51,
5-May-2021,48569.12,48742.72,48254.32,48677.55,
6-May-2021,48877.78,49011.31,48614.11,48949.76,
7-May-2021,49169.14,49417.64,49036.38,49206.47,
10-May-2021,49496.05,49617.47,49412.05,49502.41,
11-May-2021,49066.45,49304.47,48988.18,49161.81,
12-May-2021,49171.28,49171.28,48550.72,48690.80,
14-May-2021,48898.93,48898.93,48473.43,48732.55,
17-May-2021,48990.70,49628.42,48923.13,49580.73,
18-May-2021,49986.68,50313.25,49959.20,50193.33,
19-May-2021,50088.81,50279.01,49831.40,49902.64,
20-May-2021,49971.52,50099.17,49496.78,49564.86,
21-May-2021,49833.98,50591.12,49832.72,50540.48,
24-May-2021,50727.28,50857.59,50465.90,50651.90,
25-May-2021,50922.32,50961.35,50474.34,50637.53,
26-May-2021,50899.58,51072.61,50620.45,51017.52,
27-May-2021,51128.80,51282.90,50891.66,51115.22,
28-May-2021,51381.27,51529.32,51258.69,51422.88,
31-May-2021,51476.22,52013.22,51179.94,51937.44,
1-June-2021,52067.51,52228.65,51808.88,51934.88,
2-June-2021,51749.10,51913.92,51450.58,51849.48,
3-June-2021,52121.58,52273.23,51942.20,52232.43,
4-June-2021,52367.52,52389.02,51952.70,52100.05,
7-June-2021,52231.38,52378.69,52054.76,52328.51,
8-June-2021,52428.72,52432.43,52135.04,52275.57,
9-June-2021,52401.41,52446.92,51717.07,51941.64,
10-June-2021,52143.90,52346.35,51957.92,52300.47,
11-June-2021,52477.19,52641.53,52388.95,52474.76,
14-June-2021,52492.34,52590.92,51936.31,52551.53,
15-June-2021,52751.83,52869.51,52671.29,52773.05,
16-June-2021,52782.21,52816.31,52425.57,52501.98,
17-June-2021,52122.25,52523.88,52040.51,52323.33,
18-June-2021,52568.07,52586.41,51601.11,52344.45,
21-June-2021,51887.55,52629.18,51740.19,52574.46,
22-June-2021,52885.04,53057.11,52520.55,52588.71,
23-June-2021,52912.35,52912.35,52264.12,52306.08,
24-June-2021,52514.57,52830.68,52385.05,52699.00,
25-June-2021,52877.16,52973.07,52614.49,52925.04,
28-June-2021,53126.73,53126.73,52673.50,52735.59,
29-June-2021,52795.76,52816.42,52477.77,52549.66,
30-June-2021,52651.09,52875.92,52448.64,52482.71,
1-July-2021,52638.50,52638.50,52281.01,52318.60,
2-July-2021,52434.55,52527.90,52177.68,52484.67,
5-July-2021,52682.89,52919.17,52604.35,52880.00,
6-July-2021,52874.85,53129.37,52804.18,52861.18,
7-July-2021,52919.71,53105.41,52751.76,53054.76,
8-July-2021,53065.69,53103.03,52428.84,52568.94,
9-July-2021,52508.24,52555.73,52228.01,52386.19,
12-July-2021,52634.33,52700.51,52208.96,52372.69,
13-July-2021,52694.89,52806.86,52545.68,52769.73,
14-July-2021,52801.44,52978.58,52611.97,52904.05,
15-July-2021,52968.89,53266.12,52948.43,53158.85,
16-July-2021,53244.40,53290.81,52997.09,53140.06,
19-July-2021,52606.99,52821.17,52405.89,52553.40,
20-July-2021,52432.88,52465.03,52013.51,52198.51,
22-July-2021,52494.56,52867.26,52471.23,52837.21,
23-July-2021,52967.87,53114.70,52653.77,52975.80,
26-July-2021,52985.26,53103.42,52783.63,52852.27,
27-July-2021,52995.72,53024.70,52433.18,52578.76,
28-July-2021,52673.69,52673.69,51802.73,52443.71,
29-July-2021,52693.53,52777.18,52561.39,52653.07,
30-July-2021,52792.36,52910.23,52533.91,52586.84,
2-August-2021,52901.28,52986.77,52804.08,52950.63,
3-August-2021,53125.97,53887.98,53088.35,53823.36,
4-August-2021,54071.22,54465.91,54034.31,54369.77,
5-August-2021,54576.64,54717.24,54230.89,54492.84,
6-August-2021,54492.17,54633.58,54210.33,54277.72,
9-August-2021,54385.71,54584.73,54124.27,54402.85,
10-August-2021,54461.31,54779.66,54308.77,54554.66,
11-August-2021,54730.65,54758.74,54167.20,54525.93,
